Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,Outlet,Current Stock,Stock Value,Item Value,Reorder Point,Reorder Amount
Applique Sweatshirt / M / Crimson,10038,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Mt Auburn,0,0,23.61,2,2
Applique Sweatshirt / S / Charcoal,270,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Mt Auburn,0,0,26.63,2,2
Applique Sweatshirt / S / Crimson,10037,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Mt Auburn,0,0,23.61,2,2
Applique Sweatshirt / XL / Charcoal,273,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Mt Auburn,-1,-27,27,2,2
Applique Sweatshirt / XL / Crimson,10040,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Mt Auburn,-1,-27.09,27.09,2,2
Applique Sweatshirt / XS / Charcoal,274,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Mt Auburn,0,0,26.56,2,2
Applique Sweatshirt / XS / Crimson,10036,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Mt Auburn,0,0,23.61,2,2
Applique Sweatshirt / XXL / Charcoal,10041,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Mt Auburn,0,0,23.61,1,1
Applique Sweatshirt / XXL / Crimson,10042,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Mt Auburn,0,0,23.61,1,1
Athletic Shield Sweatshirt / L,10536,,Clearance,Comprint,021 Apparel > Sweatshirts > Crewneck,,Mt Auburn,0,0,8.94,0,0
Athletic Shield Sweatshirt / M,10535,,Clearance,Comprint,021 Apparel > Sweatshirts > Crewneck,,Mt Auburn,0,0,7.44,0,0
Athletic Shield Sweatshirt / S,10515,,Clearance,Comprint,021 Apparel > Sweatshirts > Crewneck,,Mt Auburn,0,0,7.04,0,0
Athletic Shield Sweatshirt / XL,10537,,Clearance,Comprint,021 Apparel > Sweatshirts > Crewneck,,Mt Auburn,0,0,8.94,0,0
Bird's Eye View of Harvard Campus Vintage Photo / 1 Photo,2990,TOEGOZ,Clearance,ICONCEPT,"190 Accessories > Postcards, Photos",,Mt Auburn,-1,-10.3,10.3,0,0
"Black ""Harvard"" Beanie / Black",10708,,3 Classic Collection,Bay State Apparel,030 Apparel > Hats,,Mt Auburn,-1,-4,4,0,0
Black & White Postcard,1142,ICONCP,Clearance,ICONCEPT,"190 Accessories > Postcards, Photos",,Mt Auburn,54,19.43514,0.35991,30,30
Black H Beanie,10923,,3 Classic Collection,Bay State Apparel,030 Apparel > Hats,,Mt Auburn,1,5,5,0,0
Boston Apparel Company T-Shirt / L / Navy,60086,,Clearance,Quality Graphics,"010 Apparel > T-shirts, Tanks",,Mt Auburn,0,0,5,0,0
Boston Apparel Company T-Shirt / M / Navy,60085,,Clearance,Quality Graphics,"010 Apparel > T-shirts, Tanks",,Mt Auburn,0,0,5,0,0
Boston Apparel Company T-Shirt / S / Navy,60084,,Clearance,Quality Graphics,"010 Apparel > T-shirts, Tanks",,Mt Auburn,0,0,5,0,0
Boston Apparel Company T-Shirt / XL / Navy,60087,,Clearance,Quality Graphics,"010 Apparel > T-shirts, Tanks",,Mt Auburn,0,0,5,0,0
Boston College T-Shirt / Large,60057,,Clearance,Alan Freedman Enterprises,"010 Apparel > T-shirts, Tanks",,Mt Auburn,0,0,6,0,0
Boston College T-Shirt / Medium,60056,,Clearance,Alan Freedman Enterprises,"010 Apparel > T-shirts, Tanks",,Mt Auburn,0,0,6,0,0
Boston College T-Shirt / Small,60055,,Clearance,Alan Freedman Enterprises,"010 Apparel > T-shirts, Tanks",,Mt Auburn,0,0,6,0,0
Boston College T-Shirt / X-Large,60058,,Clearance,Alan Freedman Enterprises,"010 Apparel > T-shirts, Tanks",,Mt Auburn,0,0,6,0,0
Boston Hooded Sweatshirt / Heather / Large,60002,,Clearance,Alan Freedman Enterprises,022 Apparel > Sweatshirts > Hooded,,Mt Auburn,0,0,10,0,0
Boston Hooded Sweatshirt / Heather / Medium,60001,,Clearance,Alan Freedman Enterprises,022 Apparel > Sweatshirts > Hooded,,Mt Auburn,0,0,10,0,0
Boston Hooded Sweatshirt / Heather / Small,60000,,Clearance,Alan Freedman Enterprises,022 Apparel > Sweatshirts > Hooded,,Mt Auburn,0,0,10,0,0
Boston Hooded Sweatshirt / Heather / X-Large,60003,,Clearance,Alan Freedman Enterprises,022 Apparel > Sweatshirts > Hooded,,Mt Auburn,0,0,10,0,0
Boston Hooded Sweatshirt / Navy / Large,60006,,Clearance,Alan Freedman Enterprises,022 Apparel > Sweatshirts > Hooded,,Mt Auburn,0,0,10,0,0
Boston Hooded Sweatshirt / Navy / Medium,60005,,Clearance,Alan Freedman Enterprises,022 Apparel > Sweatshirts > Hooded,,Mt Auburn,0,0,10,0,0
Boston Hooded Sweatshirt / Navy / Small,60004,,Clearance,Alan Freedman Enterprises,022 Apparel > Sweatshirts > Hooded,,Mt Auburn,0,0,10,0,0
Boston Hooded Sweatshirt / Navy / X-Large,60007,,Clearance,Alan Freedman Enterprises,022 Apparel > Sweatshirts > Hooded,,Mt Auburn,0,0,10,0,0
