Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,Outlet,Current Stock,Stock Value,Item Value,Reorder Point,Reorder Amount
CS50 Puzzle Day T-shirt / XL / Navy / Men's,10772,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,0,0,12,0,0
CS50 Puzzle Day T-shirt / XL / Navy / Women's,10796,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,5,60,12,0,0
CS50 Secret Decoder Glasses,10884,,CS50,CS50,090 Apparel > Other,,Basement,581,418.32,0.72,0,0
CS50 Socket,CS50-15,,CS50,CS50,180 Accessories > Other,,Basement,3,15,5,0,0
CS50 Stress Ball / Blue,10786,,CS50,CS50,180 Accessories > Other,,Basement,487,974,2,0,0
CS50 Stress Ball / Crimson,10883,,CS50,CS50,180 Accessories > Other,,Basement,506,1012,2,0,0
CS50 Sunglasses / Blue,10787,,CS50,CS50,090 Apparel > Other,,Basement,297,1485,5,0,0
CS50 Sunglasses / Crimson,CS50-14,,CS50,CS50,090 Apparel > Other,,Basement,309,1507.92,4.88,0,0
CS50 Tote Bag,10785,,CS50,CS50,150 Accessories > Bags,,Basement,0,0,6,0,0
CS50 Women's T-Shirt / L / cranberry,CS50-3,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,0,0,9.95,0,0
CS50 Women's T-Shirt / M / cranberry,CS50-2,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,0,0,9.95,0,0
CS50 Women's T-Shirt / S / cranberry,CS50-1,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,0,0,9.95,0,0
CS50 Women's T-Shirt / XL / cranberry,CS50-4,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,2,0,0,0,0
ddb50 (Rubber Duck),10788,,CS50,CS50,180 Accessories > Other,,Basement,220,440,2,0,0
Deluxe Harvard Golf Umbrella / Crimson / Striped,4725,STORMD,5 Accessories,STORMDUDS,300 Rain Gear,,Basement,126,1828.82322,14.51447,0,0
Endure Bottle / Black,10659,,6 Drinkware,RFSJ,220 Drinkware > Bottles,,Basement,0,0,11.70793,24,72
Engraved Color Harvard Keychain / Silver,1644,LXG,5 Accessories,LXG,110 Accessories > Keychains,,Basement,-47,-226.0747,4.8101,50,0
Etched Harvard Mug / Crimson,10660,,6 Drinkware,RFSJ,210 Drinkware > Mugs,,Basement,1,8.87806,8.87806,24,72
Felt H Hat / Black,11154,,4 Fall 2017 Collection,Quality,030 Apparel > Hats,,Basement,66,428.34,6.49,0,0
Felt H Hat / Navy,11155,,4 Fall 2017 Collection,Quality,030 Apparel > Hats,,Basement,94,610.26962,6.49223,0,0
Future Freshman Onesie / 12M / Oxford,10564,Mt Auburn,"7 Youth, Toddler, Infant",FREEDOM,"080 Apparel > Onesies, Infantwear",,Basement,76,437,5.75,6,24
Future Freshman Onesie / 12M / Pink,10561,,"7 Youth, Toddler, Infant",FREEDOM,"080 Apparel > Onesies, Infantwear",,Basement,67,385.25,5.75,6,24
Future Freshman Onesie / 18M / Oxford,10565,,"7 Youth, Toddler, Infant",FREEDOM,"080 Apparel > Onesies, Infantwear",,Basement,64,368,5.75,6,24
Future Freshman Onesie / 18M / Pink,10562,,"7 Youth, Toddler, Infant",FREEDOM,"080 Apparel > Onesies, Infantwear",,Basement,72,414,5.75,6,24
Future Freshman Onesie / 24M / Oxford,10579,,"7 Youth, Toddler, Infant",FREEDOM,"080 Apparel > Onesies, Infantwear",,Basement,70,402.5,5.75,6,24
Future Freshman Onesie / 24M / Pink,10578,,"7 Youth, Toddler, Infant",FREEDOM,"080 Apparel > Onesies, Infantwear",,Basement,80,460,5.75,6,24
Future Freshman Onesie / 6M / Oxford,10563,,"7 Youth, Toddler, Infant",FREEDOM,"080 Apparel > Onesies, Infantwear",,Basement,52,299,5.75,6,24
Future Freshman Onesie / 6M / Pink,10560,,"7 Youth, Toddler, Infant",FREEDOM,"080 Apparel > Onesies, Infantwear",,Basement,58,333.5,5.75,6,24
Future Freshman Toddler T-shirt / 2T / Oxford,10559,,"7 Youth, Toddler, Infant",FREEDOM,"010 Apparel > T-shirts, Tanks",,Basement,64,240,3.75,24,72
Future Freshman Toddler T-shirt / 2T / Pink,10558,,"7 Youth, Toddler, Infant",FREEDOM,"010 Apparel > T-shirts, Tanks",,Basement,72,270,3.75,24,72
Future Freshman Toddler T-shirt / 4T / Oxford,10661,,"7 Youth, Toddler, Infant",FREEDOM,"010 Apparel > T-shirts, Tanks",,Basement,67,251.25,3.75,0,0
Future Freshman Toddler T-shirt / 4T / Pink,10557,,"7 Youth, Toddler, Infant",FREEDOM,"010 Apparel > T-shirts, Tanks",,Basement,73,273.75,3.75,24,72
Graduate School of Arts and Sciences Frame,4645,STOFRA,Large Purchases,University Frames,"400 Frames, Rings, Chairs, Lamps",,Basement,0,0,89.31,0,0
H 1636 Hat / Black,11013,,2 Lifestyle Collection,Quality,030 Apparel > Hats,,Basement,113,639.94725,5.66325,0,0
H 1636 Hat / Crimson,11014,,2 Lifestyle Collection,Quality,030 Apparel > Hats,,Basement,113,641.99029,5.68133,0,0
H Gloves / Black,10710,,3 Classic Collection,Bay State Apparel,090 Apparel > Other,,Basement,27,108,4,0,0
H Gloves / Crimson,10709,,3 Classic Collection,Bay State Apparel,090 Apparel > Other,,Basement,20,80,4,12,24
H Long Sleeve T-shirt / Crimson / L,10438,,2 Lifestyle Collection,Comprint,"010 Apparel > T-shirts, Tanks",,Basement,36,182.43864,5.06774,36,0
H Long Sleeve T-shirt / Crimson / M,10437,,2 Lifestyle Collection,Comprint,"010 Apparel > T-shirts, Tanks",,Basement,32,163.76,5.1175,36,0
H Long Sleeve T-shirt / Crimson / S,10436,,2 Lifestyle Collection,Comprint,"010 Apparel > T-shirts, Tanks",,Basement,47,240.5225,5.1175,0,0
H Long Sleeve T-shirt / Crimson / XL,10439,,2 Lifestyle Collection,Comprint,"010 Apparel > T-shirts, Tanks",,Basement,49,248.97929,5.08121,24,0
H Long Sleeve Victory Tee / L / Crimson,11011,,2 Lifestyle Collection,Quality,"010 Apparel > T-shirts, Tanks",,Basement,32,318.5808,9.95565,0,0
H Long Sleeve Victory Tee / L / Ivory,10934,,2 Lifestyle Collection,Quality,"010 Apparel > T-shirts, Tanks",,Basement,29,289.85732,9.99508,0,0
H Long Sleeve Victory Tee / M / Crimson,11010,,2 Lifestyle Collection,Quality,"010 Apparel > T-shirts, Tanks",,Basement,27,270.33291,10.01233,0,0
H Long Sleeve Victory Tee / M / Ivory,10933,,2 Lifestyle Collection,Quality,"010 Apparel > T-shirts, Tanks",,Basement,2,20.04642,10.02321,0,0
H Long Sleeve Victory Tee / S / Crimson,11009,,2 Lifestyle Collection,Quality,"010 Apparel > T-shirts, Tanks",,Basement,9,90.20889,10.02321,0,0
H Long Sleeve Victory Tee / S / Ivory,10932,,2 Lifestyle Collection,Quality,"010 Apparel > T-shirts, Tanks",,Basement,4,40.09284,10.02321,0,0
H Long Sleeve Victory Tee / XL / Crimson,11012,,2 Lifestyle Collection,Quality,"010 Apparel > T-shirts, Tanks",,Basement,50,496.41,9.9282,0,0
H Long Sleeve Victory Tee / XL / Ivory,10935,,2 Lifestyle Collection,Quality,"010 Apparel > T-shirts, Tanks",,Basement,36,356.59548,9.90543,0,0
H Ping Pong Ball 6-pack / White,10993,,5 Accessories,Wincraft,180 Accessories > Other,,Basement,45,189.4725,4.2105,0,0
Hahvahd T-Shirt / L / Crimson,1391,QUALIT,3 Classic Collection,Quality,"010 Apparel > T-shirts, Tanks",,Basement,106,326.692,3.082,12,0
Hahvahd T-Shirt / M / Crimson,1390,QUALIT,3 Classic Collection,Quality,"010 Apparel > T-shirts, Tanks",,Basement,41,123.41,3.01,12,0
Hahvahd T-Shirt / S / Crimson,1389,QUALIT,3 Classic Collection,Quality,"010 Apparel > T-shirts, Tanks",,Basement,49,145.99746,2.97954,12,0
Hahvahd T-Shirt / XL / Crimson,1392,QUALIT,3 Classic Collection,Quality,"010 Apparel > T-shirts, Tanks",,Basement,-5,-14.05,2.81,12,0
Hahvahd T-Shirt / XXL / Crimson,1393,QUALIT,3 Classic Collection,Quality,"010 Apparel > T-shirts, Tanks",,Basement,13,56.16,4.32,0,0
