Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,Outlet,Current Stock,Stock Value,Item Value,Reorder Point,Reorder Amount
Harvard Overalls / Crimson / 18M,10942,,"7 Youth, Toddler, Infant",Creative Knitwear,"080 Apparel > Onesies, Infantwear",,JFK,0,0,13.25,0,0
Harvard Overalls / Crimson / 24M,10943,,"7 Youth, Toddler, Infant",Creative Knitwear,"080 Apparel > Onesies, Infantwear",,JFK,0,0,13.25,0,0
Harvard Overalls / Crimson / 2T,10944,,"7 Youth, Toddler, Infant",Creative Knitwear,"080 Apparel > Onesies, Infantwear",,JFK,0,0,13.25,0,0
Harvard Overalls / Crimson / 3T,10945,,"7 Youth, Toddler, Infant",Creative Knitwear,"080 Apparel > Onesies, Infantwear",,JFK,0,0,13.25,0,0
Harvard Overalls / Crimson / 4T,10946,,"7 Youth, Toddler, Infant",Creative Knitwear,"080 Apparel > Onesies, Infantwear",,JFK,0,0,13.25,0,0
Harvard Panda Bear /,10478,,5 Accessories,T-Shirt Bears,160 Accessories > Soft Toys,,JFK,-1,-7.19985,7.19985,4,5
Harvard Pencil / 6pk Pencil Pack / Crimson,10118,,5 Accessories,Pin Badge Maker Company,130 Accessories > Stationery,,JFK,-2,-5.224,2.612,5,5
Harvard Pencil / Single / Crimson,10117,,5 Accessories,Pin Badge Maker Company,130 Accessories > Stationery,,JFK,28,8.38264,0.29938,10,10
Harvard Performance T-shirt / L / Charcoal,10475,,Clearance,Comprint,"010 Apparel > T-shirts, Tanks",,JFK,0,0,4.87,1,2
Harvard Performance T-shirt / M / Charcoal,10474,,Clearance,Comprint,"010 Apparel > T-shirts, Tanks",,JFK,0,0,4.32,1,2
Harvard Performance T-shirt / S / Charcoal,10473,,Clearance,Comprint,"010 Apparel > T-shirts, Tanks",,JFK,0,0,4.99,1,2
Harvard Performance T-shirt / XL / Charcoal,10476,,Clearance,Comprint,"010 Apparel > T-shirts, Tanks",,JFK,0,0,5.12,1,2
Harvard Pewter Magnet Clip / Silver,3778,ARTS A,5 Accessories,Arts & Cards,140 Accessories > Magnets,,JFK,1,2.57,2.57,4,4
Harvard Pin / Crimson,894,,5 Accessories,Pin Badge Maker Company,120 Accessories > Pins,,JFK,23,12.42759,0.54033,0,0
Harvard Plaid Flannel PJ's / L,4939,BOXCRA,Clearance,Boxercraft,040 Apparel > Pants and Shorts,,JFK,0,0,13.01,1,2
Harvard Plaid Flannel PJ's / M,4938,BOXCRA,Clearance,Boxercraft,040 Apparel > Pants and Shorts,,JFK,-1,-11.28,11.28,1,2
Harvard Plaid Flannel PJ's / S,4937,BOXCRA,Clearance,Boxercraft,040 Apparel > Pants and Shorts,,JFK,-2,-22.16,11.08,1,2
Harvard Plaid Flannel PJ's / XL,4940,BOXCRA,Clearance,Boxercraft,040 Apparel > Pants and Shorts,,JFK,0,0,11.55,1,2
Harvard Pocket Tank / Crimson / L,10930,,Clearance,Quality,"010 Apparel > T-shirts, Tanks",,JFK,0,0,10.58,0,0
Harvard Pocket Tank / Crimson / M,10929,,Clearance,Quality,"010 Apparel > T-shirts, Tanks",,JFK,0,0,10.58,0,0
Harvard Pocket Tank / Crimson / S,10928,,Clearance,Quality,"010 Apparel > T-shirts, Tanks",,JFK,0,0,10.58,0,0
Harvard Pocket Tank / Crimson / XL,10931,,Clearance,Quality,"010 Apparel > T-shirts, Tanks",,JFK,0,0,10.58001,0,0
Harvard Pocket Umbrella / Black,4352,STORMD,5 Accessories,STORMDUDS,300 Rain Gear,,JFK,20,167.4976,8.37488,5,5
Harvard Pocket Umbrella / Crimson,1438,STORMD,5 Accessories,STORMDUDS,300 Rain Gear,,JFK,-3,-25.16469,8.38823,5,5
Harvard Polar Bear / White,10581,,5 Accessories,T-Shirt Bears,160 Accessories > Soft Toys,,JFK,2,14.52992,7.26496,8,8
Harvard Premium Hood / Charcoal / L,11122,,4 Fall 2017 Collection,Ouray,022 Apparel > Sweatshirts > Hooded,,JFK,1,22.29583,22.29583,0,0
Harvard Premium Hood / Charcoal / M,11121,,4 Fall 2017 Collection,Ouray,022 Apparel > Sweatshirts > Hooded,,JFK,0,0,22.33299,0,0
Harvard Premium Hood / Charcoal / S,11120,,4 Fall 2017 Collection,Ouray,022 Apparel > Sweatshirts > Hooded,,JFK,0,0,22.33299,0,0
Harvard Premium Hood / Charcoal / XL,11123,,4 Fall 2017 Collection,Ouray,022 Apparel > Sweatshirts > Hooded,,JFK,0,0,22.33299,0,0
