id,handle,sku,name,variant_option_one_name,variant_option_one_value,variant_option_two_name,variant_option_two_value,variant_option_three_name,variant_option_three_value,supplier_name,active
b8ca3a65-013d-11e4-fbb5-336e84ff24b5,THSBucks,10352,THS Bucks,,,,,,,,0
b8ca3a65-013d-11e4-fbb5-48e21cb56377,WomensArcT-Shirt,10358,Ladies Arc T-Shirt,Color,Crimson,Size,S,,,Quality,1
060f02b1-c83d-11e6-fcd2-4cf5b38b7d55,WomensArcT-Shirt,10717,Ladies Arc T-Shirt,Color,Blue,Size,S,,,Quality,1
060f02b1-c83d-11e6-fcd2-4cf5b8e986de,WomensArcT-Shirt,10718,Ladies Arc T-Shirt,Color,Blue,Size,M,,,Quality,1
060f02b1-c83d-11e6-fcd2-4cf5bcdb0ab7,WomensArcT-Shirt,10719,Ladies Arc T-Shirt,Color,Blue,Size,L,,,Quality,1
060f02b1-c83d-11e6-fcd2-4cf5c1ce9bdd,WomensArcT-Shirt,10720,Ladies Arc T-Shirt,Color,Blue,Size,XL,,,Quality,1
b8ca3a65-013d-11e4-fbb5-48e22250fd5c,WomensArcT-Shirt,10359,Ladies Arc T-Shirt,Color,Oxford,Size,L,,,Quality,1
b8ca3a65-013d-11e4-fbb5-48e22542870d,WomensArcT-Shirt,10360,Ladies Arc T-Shirt,Color,Ivory,Size,S,,,Quality,1
b8ca3a65-013d-11e4-fbb5-48e23745b208,WomensArcT-Shirt,10361,Ladies Arc T-Shirt,Color,Crimson,Size,M,,,Quality,1
b8ca3a65-013d-11e4-fbb5-48e23c81c792,WomensArcT-Shirt,10362,Ladies Arc T-Shirt,Color,Crimson,Size,L,,,Quality,1
b8ca3a65-013d-11e4-fbb5-48e241af2c98,WomensArcT-Shirt,10363,Ladies Arc T-Shirt,Color,Crimson,Size,XL,,,Quality,1
b8ca3a65-013d-11e4-fbb5-48e252f81847,WomensArcT-Shirt,10364,Ladies Arc T-Shirt,Color,Oxford,Size,XL,,,Quality,1
b8ca3a65-013d-11e4-fbb5-48e2554dc297,WomensArcT-Shirt,10365,Ladies Arc T-Shirt,Color,Ivory,Size,M,,,Quality,1
b8ca3a65-013d-11e4-fbb5-48e260cf4360,WomensArcT-Shirt,10366,Ladies Arc T-Shirt,Color,Ivory,Size,L,,,Quality,1
b8ca3a65-013d-11e4-fbb5-48e2644a45e8,WomensArcT-Shirt,10367,Ladies Arc T-Shirt,Color,Ivory,Size,XL,,,Quality,1
b8ca3a65-013d-11e4-fbb5-48e274266ba3,WomensArcT-Shirt,10368,Ladies Arc T-Shirt,Color,Oxford,Size,S,,,Quality,1
b8ca3a65-013d-11e4-fbb5-48e2787b05fd,WomensArcT-Shirt,10369,Ladies Arc T-Shirt,Color,Oxford,Size,M,,,Quality,1
